DBN,Num of SAT Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
14K322,s,s,s,s
14K404,68,387,357,381
14K449,72,586,584,570
14K454,41,407,386,396
14K474,144,364,379,371
14K477,134,413,396,395
14K478,142,398,421,396
14K488,42,367,373,350
14K558,72,363,385,364
14K561,113,397,410,380
14K586,31,371,377,355
14K610,94,367,376,350
14K632,12,382,372,368
14K685,28,359,335,341
14K923,s,s,s,s
15K429,52,361,367,383
15K448,76,393,399,387
15K462,59,398,411,394
15K463,58,397,391,381
15K464,72,379,416,380
15K497,64,405,415,392
15K519,77,398,402,385
15K520,9,352,341,300
15K529,s,s,s,s
15K530,28,368,365,368
15K656,141,426,421,411
15K667,s,s,s,s
15K698,8,430,416,425
16K393,20,355,355,358
16K455,131,365,370,362
16K498,46,362,372,358
16K594,36,370,372,351
16K688,s,s,s,s
17K382,59,396,374,369
17K408,57,352,342,351
17K467,s,s,s,s
17K489,7,394,364,334
17K524,71,287,335,291
17K528,46,403,385,388
17K531,35,348,381,359
17K533,38,377,404,372
17K537,73,338,349,340
17K539,61,362,375,368
17K543,69,457,462,441
17K544,54,386,391,369
17K546,79,418,441,414
17K547,63,388,382,373
17K548,48,385,393,373
17K568,16,372,356,335
17K590,165,476,481,479
17K600,259,425,413,413
17K625,53,365,363,355
17K751,s,s,s,s
18K563,56,313,320,330
18K566,29,374,377,394
18K567,54,383,358,377
18K569,43,368,378,346
18K576,63,387,377,379
18K578,17,384,362,351
18K589,48,361,360,359
18K617,37,404,393,386
18K629,33,393,395,381
18K633,75,386,380,393
18K635,7,400,370,370
18K637,35,363,381,367
18K642,40,376,385,374
18K673,12,410,403,378
19K409,54,416,432,394
19K420,s,s,s,s
19K431,s,s,s,s
19K502,37,341,349,333
19K504,47,363,349,342
19K507,61,380,386,383
19K510,68,371,365,370
19K583,29,279,322,286
19K615,182,395,418,380
19K618,60,371,371,354
19K639,57,360,385,363
19K659,51,376,385,368
19K660,74,370,369,363
19K683,38,383,400,374
20K445,456,402,471,399
20K485,238,425,474,424
20K490,694,417,478,411
20K505,385,383,486,375
20K609,s,s,s,s
20K658,18,338,477,316
21K337,54,326,386,314
21K344,54,402,427,408
21K348,39,388,398,378
21K410,475,396,437,393
21K412/21K411,s,s,s,s
21K468,s,s,s,s
21K525,727,468,496,467
21K540,448,404,468,390
21K559,40,384,375,365
21K572,40,353,370,356
21K620,95,394,414,376
21K690,119,429,449,435
21K728,10,411,369,373
22K405,824,478,519,476
22K425,518,436,475,439
22K495,236,383,392,370
22K535,259,524,561,542
22K555,131,456,456,440
23K493,60,389,409,387
23K514,55,361,371,359
23K643,11,349,338,331
23K646,7,311,371,311
23K647,17,350,346,332
23K697,69,392,416,388
24Q264,89,405,454,421
24Q267,39,406,413,400
24Q293,69,404,429,407
24Q296,55,317,323,311
24Q299,155,545,568,550
24Q455,320,383,440,380
24Q457,s,s,s,s
24Q485,241,395,420,396
24Q520,58,399,393,385
24Q530,69,326,409,329
24Q550,138,391,403,380
24Q560,80,443,447,440
24Q600,155,417,447,406
24Q610,396,445,496,423
24Q744,s,s,s,s
25Q252,58,455,498,443
25Q263,45,314,417,318
25Q281,59,416,463,392
25Q285,63,471,489,481
25Q425,558,397,451,395
25Q460,347,393,441,382
25Q467,9,378,373,344
25Q525,278,621,651,638
25Q540,17,398,382,388
25Q670,99,431,458,441
25Q792,7,379,421,377
26Q415,888,480,545,489
26Q430,934,468,539,467
26Q435,334,391,397,384
26Q495,708,462,523,464
26Q566,175,425,434,420
27Q260,87,387,385,373
27Q262,74,432,419,401
27Q302,44,391,401,364
27Q308,93,423,426,416
27Q309,36,367,379,348
27Q323,89,499,537,496
27Q400,101,377,371,360
27Q410,78,384,396,354
27Q475,404,382,404,368
27Q480,403,391,409,392
27Q650,194,429,491,425
28Q284,s,s,s,s
28Q310,68,420,445,400
28Q325,s,s,s,s
28Q338,6,403,408,367
28Q350,25,430,452,425
28Q440,762,456,497,454
28Q470,90,342,368,353
28Q505,462,395,413,386
28Q620,422,452,478,442
28Q680,99,513,523,502
28Q686,s,s,s,s
28Q687,121,612,660,596
28Q690,74,406,406,384
28Q896,68,439,445,432
29Q248,52,360,380,359
29Q259,46,401,397,375
29Q265,49,402,398,402
29Q272,59,436,427,424
29Q283,43,370,367,363
29Q326,s,s,s,s
29Q492,78,400,426,394
29Q494,52,385,377,377
29Q496,49,379,414,359
29Q498,62,393,381,377
30Q286,s,s,s,s
30Q301,98,410,440,405
30Q445,395,414,449,412
30Q450,392,403,420,395
30Q501,174,504,496,494
30Q502,148,407,434,398
30Q555,143,323,475,329
30Q575,135,487,492,491
30Q580,61,524,568,544
31R047,137,452,451,450
31R064,61,398,412,385
31R080,107,472,488,466
31R440,391,424,437,416
31R445,271,424,438,417
31R450,375,437,435,429
31R455,807,462,486,470
31R460,535,455,474,459
31R470,10,466,455,414
31R600,94,416,422,397
31R605,227,635,682,636
31R607,10,405,375,370
32K403,50,380,366,352
32K545,88,384,409,361
32K549,75,348,353,334
32K552,67,342,364,354
32K554,39,428,465,422
32K556,23,347,358,350
32K564,24,359,317,358
75K371,s,s,s,s
75M035,s,s,s,s
75Q256,s,s,s,s
75Q811,32,429,444,433
75R025,s,s,s,s
75X012,s,s,s,s
75X754,s,s,s,s
79M645,s,s,s,s
79Q950,8,496,400,426
79X490,9,367,370,360
