DBN,Num of SAT Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
15K656,71,416,417,425
15K698,17,387,371,368
16K393,29,429,421,424
16K455,143,369,367,366
16K498,34,367,364,364
16K594,,,,
17K382,50,401,412,404
17K408,31,400,405,399
17K440,12,388,373,374
17K467,,,,
17K469,,,,
17K470,,,,
17K489,17,381,344,360
17K524,32,302,339,325
17K528,81,382,387,381
17K531,21,357,391,343
17K533,25,358,378,372
17K537,71,361,376,365
17K539,54,371,366,381
17K543,68,445,425,415
17K544,49,392,390,381
17K546,83,412,427,420
17K547,45,391,396,388
17K548,37,385,351,381
17K568,20,356,358,366
17K590,113,459,482,452
17K600,282,419,413,411
17K625,121,355,358,348
18K415,42,328,341,338
18K500,128,372,373,364
18K501,,,,
18K515,29,365,352,336
18K563,,,,
25Q540,22,400,395,391
18K566,,,,
18K567,,,,
18K569,,,,
18K576,,,,
18K578,20,389,358,369
18K589,,,,
18K617,,,,
18K629,,,,
18K633,,,,
18K635,24,361,365,365
18K642,,,,
18K673,,,,
19K409,61,435,428,414
19K420,140,353,379,341
19K431,,,,
19K435,,,,
19K502,29,376,375,363
19K504,23,369,372,380
19K507,49,371,363,356
19K510,28,370,371,376
19K583,,,,
19K615,184,413,419,403
19K618,,,,
19K639,,,,
19K659,50,398,402,378
19K660,49,355,367,355
19K683,,,,
20K445,317,409,471,407
20K485,221,450,471,440
20K490,581,416,486,409
20K505,385,387,492,377
20K658,33,363,443,369
21K337,35,355,395,355
21K344,66,422,459,418
21K348,33,370,427,381
21K400,40,327,367,315
21K410,379,386,429,385
21K412/21K411,,,,
21K525,686,472,503,468
21K540,349,414,465,396
21K559,,,,
21K572,,,,
21K620,56,385,393,361
21K690,86,426,419,418
21K728,13,402,351,380
22K405,725,493,543,491
22K425,641,449,478,445
22K495,192,380,416,380
22K535,239,543,578,559
22K555,109,459,460,446
23K493,37,394,372,375
23K514,50,416,396,414
23K643,18,347,371,323
23K645,24,376,358,368
23K646,35,349,329,341
23K647,12,385,378,391
23K697,59,396,389,389
24Q264,65,407,432,417
24Q267,67,411,420,407
24Q293,,,,
24Q296,,,,
24Q299,42,545,548,541
24Q455,251,379,427,372
24Q485,269,398,431,391
24Q520,32,386,402,373
24Q530,75,355,428,359
24Q550,127,363,372,363
24Q560,49,420,440,421
24Q600,130,415,428,401
24Q610,289,444,494,427
24Q744,7,416,413,364
25Q252,,,,
25Q263,57,325,415,311
25Q281,50,438,485,442
25Q285,56,429,425,421
25Q425,302,391,423,389
25Q460,278,372,398,366
25Q467,,,,
25Q525,273,637,644,642
25Q670,61,449,471,462
25Q792,22,434,422,422
26Q415,697,486,551,492
26Q430,808,457,530,454
26Q435,343,402,411,398
26Q495,732,472,531,467
26Q566,144,438,455,433
27Q260,65,393,390,387
27Q262,63,455,423,420
27Q302,,,,
27Q308,,,,
27Q309,,,,
27Q323,,,,
27Q400,102,377,372,362
27Q410,114,393,390,380
27Q465,31,350,369,360
27Q475,397,380,401,380
27Q480,302,399,424,404
27Q487/27Q481,,,,
27Q650,87,421,464,424
28Q310,,,,
28Q338,22,346,351,338
28Q440,627,468,491,462
28Q470,153,393,400,391
28Q505,498,385,400,385
28Q620,529,455,490,439
28Q680,89,525,532,515
28Q687,99,613,650,612
28Q690,62,408,429,412
28Q896,,,,
29Q248,46,372,388,381
29Q259,42,406,415,394
29Q265,55,394,358,388
29Q272,68,425,435,418
29Q283,18,413,402,388
29Q420,20,429,402,403
29Q492,59,405,430,405
29Q494,60,406,412,391
29Q496,52,388,389,380
29Q498,45,383,371,370
30Q301,,,,
30Q445,322,405,456,408
30Q450,296,418,434,408
30Q501,153,506,495,499
30Q502,140,440,452,424
30Q555,147,343,447,346
30Q575,120,502,505,515
30Q580,64,560,587,570
31R064,,,,
31R080,86,508,523,502
31R440,282,431,446,434
31R445,237,437,442,425
31R450,373,439,441,430
31R455,698,459,482,467
